species,SVL,PCI_limbs,PCII_head,PCIII_padwidth_vs_tail,PCIV_lamella_num,awesomeness,hostility,attitude,ecomorph,island,Genus,origin,island/mainland,Group,Clade,Nmorpho,SVL_SE,Tail,Tail_SE,Head-length,Head-length_SE,Head-width,Head-width_SE,Head-depth,Head-depth_SE,Lower-jaw-length,Lower-jaw-length_SE,Outlever,Outlever_SE,Snout,Snout_SE,Open,Open_SE,Close,Close_SE,Interlimb,Interlimb_SE,Body-height,Body-height_SE,Body-width,Body-width_SE,Femur,Femur_SE,Tibia,Tibia_SE,Tarsus,Tarsus_SE,Ltoe,Ltoe_SE,Hind-limb-length,Hind-limb-length_SE,Humerus,Humerus_SE,Radius,Radius_SE,Carpus,Carpus_SE,Longest-toe,Longest-toe_SE,Forelimb-length,Forelimb-length_SE
grahami,4.154274265,-2.305653544,-1.913936885,1.685257905,1.014419261,0.410642801,-0.117462571,0.702295893,TC,Puerto Rico,Anolis,Jamaica,I,I2,Norops,9.0,5.69,99.41,11.59,18.79,1.49,9.8,1.15,7.08,0.96,18.85,1.66,17.71,1.58,14.77,1.29,1.13,0.25,2.94,0.49,29.23,2.77,6.97,1.0,7.98,1.07,14.23,1.43,13.84,1.14,4.86,0.66,10.51,0.61,43.43,3.67,10.26,0.96,9.63,0.87,2.27,0.2,7.07,0.65,29.24,2.28
gundlachi,4.18810472,-2.64936274,-0.562516042,-2.285226483,-2.484205186,-0.426336538,0.613014449,-0.693182616,TG,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,45.0,4.39,99.85,27.41,20.65,1.46,10.41,1.01,8.31,0.88,20.17,1.43,18.91,1.41,15.54,1.11,1.26,0.32,3.38,0.49,31.44,2.59,7.24,1.12,6.43,1.03,17.78,1.4,17.66,1.13,7.69,0.65,13.48,1.24,56.61,3.87,11.53,0.96,11.19,0.76,2.61,0.3,8.36,0.71,33.68,2.34
hendersoni,3.8598345739999997,1.289630445,-2.06309845,-3.465653547,2.58336718,0.385454354,-0.713316425,-0.39597920299999995,GB,Hispaniola,Anolis,Haiti,I,I2,Anolis,3.0,0.84,114.11,7.77,15.87,0.26,6.21,0.07,5.4,0.11,16.63,0.9,14.66,0.32,12.55,0.38,1.98,1.21,2.11,0.28,21.68,0.31,5.42,0.15,5.97,1.64,11.11,0.32,11.94,0.09,7.39,0.21,7.43,0.05,37.87,0.17,8.25,1.31,5.71,1.03,2.17,0.11,3.29,0.31,19.41,2.67
krugi,3.8865000480000003,-1.688795326,-0.83128181,-1.258889189,0.240299126,0.972494741,-0.371866585,1.4610946969999998,GB,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,28.0,2.36,124.33,14.54,15.89,0.68,7.47,0.53,6.18,0.49,15.57,0.73,14.46,0.7,11.79,0.69,1.11,0.22,2.67,0.35,24.44,1.51,4.79,0.47,4.02,0.62,12.83,0.74,12.94,0.58,5.05,0.62,10.08,0.57,40.9,1.81,8.06,0.49,7.43,0.39,1.83,0.22,5.99,0.44,23.32,1.17
lineatopus,4.128611788,-2.430812911,-3.125523903,-1.7564495340000001,-1.4395230319999999,0.800931449,0.170290172,0.335557135,TG,Jamaica,Anolis,Jamaica,I,I2,Norops,17.0,4.61,93.28,17.66,18.78,1.57,9.16,0.8,7.02,0.8,18.6,1.5,17.4,1.46,14.69,1.33,1.2,0.16,2.71,0.27,28.28,2.12,6.53,0.81,6.04,0.78,15.25,1.3,14.63,0.93,5.71,0.69,11.01,1.42,46.6,3.93,10.42,0.92,9.37,0.73,2.33,0.24,7.06,0.74,29.19,2.28
lucius,4.198914766000001,-4.381398032,1.2598112320000001,2.189960413,1.75435972,0.126135253,0.545903248,-0.585057824,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,0.34,110.82,,20.09,0.23,11.05,0.39,8.5,0.16,20.98,0.05,18.87,0.06,15.23,0.43,2.11,0.11,3.64,0.39,29.29,1.68,9.6,0.32,10.63,0.2,17.93,0.54,16.91,0.31,10.14,0.19,10.11,0.37,55.09,1.15,13.68,0.61,11.23,0.47,3.84,0.46,5.7,0.1,34.44,0.18
monticola,3.7706130389999997,-3.251180164,0.155993443,-2.239008161,0.131568273,0.628989307,0.14687766900000002,-0.440977523,U,Hispaniola,Anolis,Haiti,I,I2,Anolis,3.0,0.56,78.89,55.23,14.32,0.31,7.11,0.05,6.23,0.19,14.36,0.32,13.22,0.28,10.84,0.17,1.14,0.08,2.38,0.13,21.39,1.0,6.31,0.26,8.06,1.13,13.11,0.61,13.44,0.38,8.54,0.27,8.6,0.31,43.7,1.18,8.66,0.19,7.35,0.12,2.65,0.23,4.27,0.19,22.92,0.42
occultus,3.6630486939999995,7.920784437000001,-0.190139683,2.492281866,-0.095779769,-1.19168698,1.215301402,0.0324486,TW,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,1.0,,34.91,,11.82,,4.19,,3.79,,11.1,,10.48,,8.93,,0.62,,1.55,,18.09,,2.86,,3.07,,5.79,,5.03,,1.27,,3.39,,15.48,,4.1,,3.79,,1.38,,3.19,,12.46,
olssoni,3.79389884,0.816826677,3.874428128,-2.433731025,0.62906887,-1.391771586,1.21022186,-0.291868939,GB,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,26.0,2.05,133.84,14.71,12.6,0.5,5.91,0.3,5.23,0.44,13.29,0.67,12.27,0.58,10.44,0.64,1.02,0.23,1.83,0.28,,,,,,,10.39,0.6,10.91,0.43,6.2,0.76,8.42,0.76,35.93,1.38,6.45,0.51,5.24,0.4,1.64,0.22,3.88,0.54,17.21,0.81
porcus,5.0380342680000005,3.506145365,-2.986679642,0.750064697,-1.199092288,0.158971414,-0.35018767700000003,0.459870648,U,Cuba,Anolis,Cuba,I,I2,Anolis,1.0,,122.38,,42.16,,19.23,,16.21,,36.49,,33.43,,27.26,,3.06,,6.17,,52.67,,19.15,,17.04,,19.17,,17.47,,11.03,,10.98,,58.65,,18.37,,15.08,,5.04,,7.02,,45.51,
pulchellus,3.799022266,0.162381506,-2.338461029,-1.5906714709999998,0.681808877,0.978157532,-0.810754596,1.3927752930000001,GB,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,16.0,2.27,83.46,23.66,14.34,0.72,5.95,0.47,5.06,0.4,14.24,0.69,13.42,0.67,10.58,0.49,0.83,0.17,2.84,0.33,21.54,1.15,3.73,0.43,3.34,0.42,10.39,0.74,10.27,0.49,4.09,0.5,8.17,0.61,32.91,1.92,6.66,0.42,5.93,0.49,1.51,0.19,4.72,0.38,18.82,1.06
reconditus,4.482606994,-2.7270415580000003,-0.21040657399999999,-2.353424153,-0.799290533,0.260965443,-0.271697917,0.013671426,U,Jamaica,Anolis,Jamaica,I,I2,Norops,3.0,4.74,182.0,5.66,27.14,1.39,14.58,1.03,12.19,0.95,27.81,1.5,25.24,1.5,20.53,1.38,2.57,0.26,4.72,0.27,33.77,2.17,14.96,0.88,14.18,1.23,22.06,1.71,21.25,1.53,13.81,0.51,14.27,0.28,71.39,3.79,18.11,1.29,13.91,0.86,4.74,0.26,7.94,0.85,44.71,3.02
sagrei,4.067161768,-1.741055466,2.022824313,0.16936348199999998,-1.3757694059999999,-0.630433775,0.7193129620000001,-1.222827638,TG,Cuba,Anolis,Bahamas & Jamaica,I,I2,Norops,136.0,0.07,85.66,5.33,14.61,0.37,7.72,0.59,5.91,0.26,14.5,0.05,13.34,0.07,11.14,0.13,1.15,0.02,2.21,0.06,26.38,1.45,5.47,0.47,5.04,0.58,12.12,0.38,11.76,0.19,5.39,1.38,8.96,0.83,38.23,0.35,8.36,0.2,7.3,0.05,1.92,0.26,5.42,0.88,22.94,0.83
sheplani,3.682924257,10.27389091,2.277844094,1.698174153,-0.259624317,-0.431283305,0.321955192,-0.8055328759999999,TW,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,9.0,2.28,38.09,2.72,11.26,0.67,4.57,0.32,4.46,0.43,11.4,0.61,10.64,0.55,9.24,0.56,0.75,0.17,1.41,0.2,,,,,,,5.44,0.44,4.98,0.23,2.55,0.24,3.01,0.47,15.98,0.84,3.92,0.38,3.21,0.35,1.21,0.27,2.04,0.38,10.38,1.04
singularis,4.057997493999999,0.363267887,-0.954228711,1.656215433,1.007569263,1.592083294,-1.70105266,1.45313446,TC,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,16.0,3.67,58.58,6.58,12.45,1.15,6.86,0.82,5.23,0.65,12.92,1.44,12.0,1.34,10.27,1.1,0.91,0.28,1.73,0.38,,,,,,,7.5,1.07,7.18,0.68,4.07,0.45,5.2,0.7,23.95,2.49,5.64,0.81,4.86,0.67,1.75,0.31,3.09,0.56,15.33,1.83
stratulus,3.869880695,-1.6226416469999998,-0.529574903,2.21669521,0.9462223129999999,-0.314853533,0.515229477,-0.408287159,TC,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,21.0,2.7,62.95,14.61,14.47,0.86,6.74,0.41,4.75,0.4,14.31,0.72,13.26,0.73,11.19,0.66,1.17,0.2,2.06,0.62,23.56,1.86,4.24,0.59,4.56,0.77,11.06,0.6,10.72,0.47,4.43,0.36,8.53,0.46,34.74,1.29,8.37,0.54,7.77,0.42,1.86,0.21,6.02,0.25,24.03,1.09
valencienni,4.3215244010000005,2.942413885,-0.884600717,1.854330826,0.128823267,-0.088370075,0.46528678799999995,-0.567548962,TW,Jamaica,Anolis,Jamaica,I,I2,Norops,9.0,3.91,86.56,9.52,21.05,1.43,9.49,1.04,8.12,1.11,20.66,1.33,19.63,1.47,16.34,1.41,1.03,0.45,3.29,0.3,35.01,1.69,7.09,1.44,7.07,1.05,13.59,1.2,11.59,0.47,3.97,0.44,8.88,1.02,38.03,2.66,9.76,0.8,8.32,0.59,1.99,0.31,5.79,0.64,25.86,2.07
vanidicus,3.62620586,4.044367599,1.0871631959999999,-2.492119203,0.18942396,-1.287008036,1.02303768,-0.6759174590000001,GB,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,4.06,80.01,8.73,11.13,0.89,4.29,0.39,3.78,0.47,10.87,1.16,9.93,1.03,8.37,1.06,0.94,0.19,1.56,0.11,15.25,1.09,3.83,0.28,3.31,0.49,8.54,0.49,8.31,0.66,5.14,0.22,4.68,0.09,26.67,1.22,5.33,0.32,3.81,0.22,1.51,0.16,2.18,0.09,12.83,0.63
vermiculatus,4.802849398,0.22783466800000002,1.41411087,-1.84674415,0.7117342179999999,0.159291276,-0.024230945,-0.315755014,U,Cuba,Anolis,Cuba,I,I2,Anolis,6.0,2.89,195.43,14.76,36.08,2.34,16.94,0.75,14.86,0.35,37.94,0.92,34.76,1.01,28.25,0.9,3.18,0.29,6.51,0.33,51.09,1.86,17.08,1.67,18.62,3.43,28.67,1.07,28.25,1.21,17.55,0.2,18.31,0.29,92.77,2.11,21.46,0.72,16.34,1.01,6.03,0.47,8.96,0.73,52.79,1.83
